ip,familia,ptr,asn,asn_name,isp,org,cidade,regiao,pais,pais_cc,continente,lat,lon,timezone,datacenter,resolvedor_publico
2a00:5a60::ad1:0ff,IPv6,,,,,,,,,,,,,,não,sim
79.98.120.73,IPv4,ns-lb0.ns.308th.dubai.aeda.net.ae,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,Aeda AS1,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
2a00:d30:120::73,IPv6,,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,A01,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
79.98.121.73,IPv4,ns-lb0.ns.almaf.abudhabi.aeda.net.ae,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,Aeda AS1,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
2a00:d30:121::73,IPv6,,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,A02,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
2800:3f0:4002:816::200e,IPv6,,AS15169,Google LLC,Google LLC,Google Argentina SRL,Buenos Aires,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.6177,-58.3621,America/Argentina/Buenos_Aires,não,não
200.108.148.50,IPv4,c.dns.ar,AS42,"WoodyNet, Inc.","WoodyNet, Inc.",Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,sim,não
2801:140:10::10,IPv6,c.dns.ar,AS42,"WoodyNet, Inc.","WoodyNet, Inc.",Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
192.140.126.50,IPv4,d.dns.ar,AS265731,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
2801:140:dddd::50,IPv6,d.dns.ar,AS265731,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
170.238.66.50,IPv4,e.dns.ar,AS264798,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,sim,não
2801:140:eeee::50,IPv6,e.dns.ar,AS264798,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,SpaceX Starlink,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
194.0.25.24,IPv4,ns3.dns.nl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::24,IPv6,ns3.dns.nl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.23,IPv4,b.dns.pt,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::23,IPv6,b.dns.pt,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.44,IPv4,v.dns.it,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::44,IPv6,v.dns.it,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.39,IPv4,d.nic.ch,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::39,IPv6,d.nic.ch,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.29,IPv4,f-dns.pl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::29,IPv6,f-dns.pl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.36,IPv4,z.nsset.be,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::36,IPv6,z.nsset.be,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
2001:678:1c::2,IPv6,ns2.univie.ac.at,AS35052,ACONET,.at-TLD,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,não,não
194.0.25.10,IPv4,r.ns.at,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::10,IPv6,r.ns.at,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.30,IPv4,i.fi,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::30,IPv6,i.fi,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.35,IPv4,i.ns.ie,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::35,IPv6,i.ns.ie,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.48,IPv4,gr-a.ics.forth.gr,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::48,IPv6,gr-a.ics.forth.gr,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.11,IPv4,e.hu,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::11,IPv6,e.hu,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
193.46.128.10,IPv4,rcz.ns.ua,AS1921,RcodeZero Anycast DNS,ipcom GmbH,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
2a02:850:ffe0::10,IPv6,rcz.ns.ua,AS1921,RcodeZero Anycast DNS,ipcom GmbH,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,não,não
2001:67c:1bc::100,IPv6,sec1.rcode0.org,AS1921,RcodeZero Anycast DNS,IPCom-NET Anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
